main_type,sign_type,mounting,thickness,illumination,face,returns,trim_cap,raceway_backer,colors_asked,colors_fixed,dims_label,application,side_view_image,package,full_spec,notes
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,Flush Mount,N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTERS 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: STUD MOUNT 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,"Raceway Mount (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTERS WITH RACEWAY 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: RACEWAY MOUNT 
 RACEWAY : 2"" DEEP 6"" TALL ALUMINUM RACEWAY 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP] 
   • RACEWAY COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,"Backboard Cabinet (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTER WITH BACKBOARD 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER: 2"" DEEP ALUMINUM BACKER 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP] 
   • RACEWAY COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,Flat Aluminum Backer (2.5 mm),N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTER WITH FLAT ALUMINUM BACKER 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER : 2.5MM FLAT ALUMINUM BACKER 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP]  
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,Flat ACM Backer (4mm),N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTER WITH ACM BACKER 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER : 4MM FLAT ACM BACKER 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP]  
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,HALO LIT CHANNEL LETTERS,Flat Acrylic Backer (8mm),N/A,"LED (6500K LED modules, 3-yr warranty)",SS/ALUMINUM FACE,"1"" DEEP",,,FACE & RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE : HALO LIT CHANNEL LETTER WITH ACRYLIC BACKER 
 LETTER FACE: SS/ALUMINUM FACE 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER : 8MM FLAT ACRYLIC BACKER 
 COLOR SPECS: 
   • FACE & RETURN COLOR: [ASK REP]  
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,Flush Mount,N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS 
 FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: FLUSH MOUNT 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,"Raceway Mount (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH RACEWAY 
 LETTER FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 LETTER RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATED : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: RACEWAY MOUNT 
 RACEWAY: 2"" DEEP, 6"" TALL ALUMINUM RACEWAY 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
   • RACEWAY COLOR: [ASK REP]                                     
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,"Backboard Cabinet (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH BACKBOARD 
 LETTER FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 LETTER RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER: 2"" DEEP ALUMINUM BACKER 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
   • BACKER COLOR: [ASK REP] 
 FINISH: SATIN 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,Flat Aluminum Backer (2.5 mm),N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH FLAT ALUMINUM BACKER 
 FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER: 2.5MM FLAT ALUMINUM BACKER 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
   • BACKER COLOR: [ASK REP] 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,Flat ACM Backer (4mm),N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH ACM BACKER 
 FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER: 4MM ACM BACKER 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
   • BACKER COLOR: [ASK REP] 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE LIT CHANNEL LETTERS,Flat Acrylic Backer (8mm),N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP",METALLIC TRIM CAP,RACEWAY: N/A,FACE COLOR | RETURN & TRIM COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,"SIGN TYPE: FACE LIT CHANNEL LETTERS WITH ACRYLIC BACKER 
 FACE: ACRYLIC FACE WITH VINYL APPLICATION 
 OVERALL DIMENSIONS: [HEIGHT]"" X [WIDTH]"" 
 RETURNS: [DEPTH]"" 
 TRIM CAP: METALLIC/STANDARD TRIM CAP 
 ILLUMINATION : 6500K LED MODULES (3 YEAR WARRANTY) 
 MOUNTING: BACKER MOUNT 
 BACKER: 8MM ACRYLIC BACKER 
 COLOR SPECS: 
   • FACE COLOR: [ASK REP] 
   • RETURN & TRIM COLOR: [ASK REP] 
   • BACKER COLOR: [ASK REP] 
 APPLICATION: [APPLICATION]",
CHANNEL LETTERS,FACE AND HALO LIT CHANNEL LETTERS,Flush Mount,N/A,"LED (6500K LED modules, 3-yr warranty)",POLYCARBONATE/ACRYLIC FACE WITH VINYL APPLICATION,"2"" DEEP ALUMINUM RETURNS",,,FACE COLOR,RETURN COLOR = SAME AS FACE,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,FACE AND HALO LIT CHANNEL LETTERS,"Raceway Mount (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",POLYCARBONATE/ACRYLIC FACE WITH VINYL APPLICATION,"2"" DEEP ALUMINUM RETURNS",,,FACE COLOR,RETURN COLOR = SAME AS FACE,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,FACE AND HALO LIT CHANNEL LETTERS,"Backboard Cabinet (2"")",N/A,"LED (6500K LED modules, 3-yr warranty)",POLYCARBONATE/ACRYLIC FACE WITH VINYL APPLICATION,"2"" DEEP ALUMINUM RETURNS",,,FACE COLOR,RETURN COLOR = SAME AS FACE,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,FACE AND HALO LIT CHANNEL LETTERS,Flat Aluminum Backer (2.5 mm),N/A,"LED (6500K LED modules, 3-yr warranty)",POLYCARBONATE/ACRYLIC FACE WITH VINYL APPLICATION,"2"" DEEP ALUMINUM RETURNS",,,FACE COLOR,RETURN COLOR = SAME AS FACE,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,FACE AND HALO LIT CHANNEL LETTERS,Flat ACM Backer (4mm),N/A,"LED (6500K LED modules, 3-yr warranty)",POLYCARBONATE/ACRYLIC FACE WITH VINYL APPLICATION,"2"" DEEP ALUMINUM RETURNS",,,FACE COLOR,RETURN COLOR = SAME AS FACE,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,FACE AND HALO LIT CHANNEL LETTERS,Flat Acrylic Backer (8mm),N/A,"LED (6500K LED modules, 3-yr warranty)",POLYCARBONATE/ACRYLIC FACE WITH VINYL APPLICATION,"2"" DEEP ALUMINUM RETURNS",,,FACE COLOR,RETURN COLOR = SAME AS FACE,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,MARQUEE CHANNEL LETTERS,Flush Mount,N/A,Incandescent bulbs,OPEN FACE ALUMINUM WITH BULB,"3"" ALUMINUM RETURNS",,RACEWAY: N/A,FACE COLOR | RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,MARQUEE CHANNEL LETTERS,"Raceway Mount (2"")",N/A,Incandescent bulbs,OPEN FACE ALUMINUM WITH BULB,"3"" ALUMINUM RETURNS",,RACEWAY: N/A,FACE COLOR | RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,MARQUEE CHANNEL LETTERS,"Backboard Cabinet (2"")",N/A,Incandescent bulbs,OPEN FACE ALUMINUM WITH BULB,"3"" ALUMINUM RETURNS",,RACEWAY: N/A,FACE COLOR | RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,MARQUEE CHANNEL LETTERS,Flat Aluminum Backer (2.5 mm),N/A,Incandescent bulbs,OPEN FACE ALUMINUM WITH BULB,"3"" ALUMINUM RETURNS",,RACEWAY: N/A,FACE COLOR | RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,MARQUEE CHANNEL LETTERS,Flat ACM Backer (4mm),N/A,Incandescent bulbs,OPEN FACE ALUMINUM WITH BULB,"3"" ALUMINUM RETURNS",,RACEWAY: N/A,FACE COLOR | RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,MARQUEE CHANNEL LETTERS,Flat Acrylic Backer (8mm),N/A,Incandescent bulbs,OPEN FACE ALUMINUM WITH BULB,"3"" ALUMINUM RETURNS",,RACEWAY: N/A,FACE COLOR | RETURN COLOR,,OVERALL DIMENSIONS,EXTERIOR,,A,,
CHANNEL LETTERS,OPEN FACE FAUX NEON CHANNEL LETTER,Flush Mount,N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,OPEN FACE FAUX NEON CHANNEL LETTER,"Raceway Mount (2"")",N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,OPEN FACE FAUX NEON CHANNEL LETTER,"Backboard Cabinet (2"")",N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,OPEN FACE FAUX NEON CHANNEL LETTER,Flat Aluminum Backer (2.5 mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,OPEN FACE FAUX NEON CHANNEL LETTER,Flat ACM Backer (4mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,OPEN FACE FAUX NEON CHANNEL LETTER,Flat Acrylic Backer (8mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Face & Side Lit Channel Letters,Flush Mount,N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Face & Side Lit Channel Letters,"Raceway Mount (2"")",N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Face & Side Lit Channel Letters,"Backboard Cabinet (2"")",N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Face & Side Lit Channel Letters,Flat Aluminum Backer (2.5 mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Face & Side Lit Channel Letters,Flat ACM Backer (4mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Face & Side Lit Channel Letters,Flat Acrylic Backer (8mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Side Lit Channel Letters,Flush Mount,N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Side Lit Channel Letters,"Raceway Mount (2"")",N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Side Lit Channel Letters,"Backboard Cabinet (2"")",N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Side Lit Channel Letters,Flat Aluminum Backer (2.5 mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Side Lit Channel Letters,Flat ACM Backer (4mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Side Lit Channel Letters,Flat Acrylic Backer (8mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Vacuum Formed Channel Letters,Flush Mount,N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Vacuum Formed Channel Letters,"Raceway Mount (2"")",N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Vacuum Formed Channel Letters,"Backboard Cabinet (2"")",N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Vacuum Formed Channel Letters,Flat Aluminum Backer (2.5 mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Vacuum Formed Channel Letters,Flat ACM Backer (4mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Vacuum Formed Channel Letters,Flat Acrylic Backer (8mm),N/A,,,,,,,,,,,A,,
CHANNEL LETTERS,Fabricated Channel Letters,Flush Mount,N/A,,,,,,,,,,,B,,
CHANNEL LETTERS,Fabricated Channel Letters,"Raceway Mount (2"")",N/A,,,,,,,,,,,B,,
CHANNEL LETTERS,Fabricated Channel Letters,"Backboard Cabinet (2"")",N/A,,,,,,,,,,,B,,
CHANNEL LETTERS,Fabricated Channel Letters,Flat Aluminum Backer (2.5 mm),N/A,,,,,,,,,,,B,,
CHANNEL LETTERS,Fabricated Channel Letters,Flat ACM Backer (4mm),N/A,,,,,,,,,,,B,,
CHANNEL LETTERS,Fabricated Channel Letters,Flat Acrylic Backer (8mm),N/A,,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flush Mount,"1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,"Raceway Mount (2"")","1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,"Backboard Cabinet (2"")","1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat Aluminum Backer (2.5 mm),"1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat ACM Backer (4mm),"1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat Acrylic Backer (8mm),"1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flush Mount,"1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,"Raceway Mount (2"")","1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,"Backboard Cabinet (2"")","1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat Aluminum Backer (2.5 mm),"1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat ACM Backer (4mm),"1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat Acrylic Backer (8mm),"1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flush Mount,"3/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,"Raceway Mount (2"")","3/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,"Backboard Cabinet (2"")","3/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat Aluminum Backer (2.5 mm),"3/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat ACM Backer (4mm),"3/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat Acrylic Backer (8mm),"3/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flush Mount,"1""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,"Raceway Mount (2"")","1""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,"Backboard Cabinet (2"")","1""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat Aluminum Backer (2.5 mm),"1""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat ACM Backer (4mm),"1""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Acrylic/PVC Letters,Flat Acrylic Backer (8mm),"1""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flush Mount,"1/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,"Raceway Mount (2"")","1/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,"Backboard Cabinet (2"")","1/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat Aluminum Backer (2.5 mm),"1/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat ACM Backer (4mm),"1/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat Acrylic Backer (8mm),"1/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flush Mount,"1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,"Raceway Mount (2"")","1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,"Backboard Cabinet (2"")","1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat Aluminum Backer (2.5 mm),"1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat ACM Backer (4mm),"1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat Acrylic Backer (8mm),"1/4""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flush Mount,"3/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,"Raceway Mount (2"")","3/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,"Backboard Cabinet (2"")","3/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat Aluminum Backer (2.5 mm),"3/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat ACM Backer (4mm),"3/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat Acrylic Backer (8mm),"3/8""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flush Mount,"1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,"Raceway Mount (2"")","1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,"Backboard Cabinet (2"")","1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat Aluminum Backer (2.5 mm),"1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat ACM Backer (4mm),"1/2""",,,,,,,,,,,B,,
FLAT CUT LETTERS,Flat Cut Aluminum Letters,Flat Acrylic Backer (8mm),"1/2""",,,,,,,,,,,B,,
CABINETS,Single Sided Illuminated Cabinet,N/A,N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"3"" DEEP ALUMINUM",STANDARD TRIM CAP,,,FACE COLOR = TBD | RETURN & TRIM COLOR = TBD,OVERALL DIMENSIONS,EXTERIOR,,A,,
CABINETS,Double Sided Illuminated Cabinet,N/A,N/A,"LED (6500K LED modules, 3-yr warranty)",ACRYLIC FACE WITH VINYL APPLICATION,"5"" DEEP ALUMINUM",STANDARD TRIM CAP,,,FACE COLOR = TBD | RETURN & TRIM COLOR = TBD,OVERALL DIMENSIONS,EXTERIOR,,A,,
CABINETS,Single Sided Push Thru Cabinet,N/A,N/A,,,,,,,,,,,A,,
CABINETS,Double Sided Push Thru Cabinet,N/A,N/A,,,,,,,,,,,A,,
CABINETS,Single Sided Non Illuminated Cabinet,N/A,N/A,,,,,,,,,,,B,,
CABINETS,Double Sided Non Illuminated Cabinet,N/A,N/A,,,,,,,,,,,B,,
BLADE SIGNS,Fabricated Illumimated Blade Sign,N/A,N/A,,,,,,,,,,,A,,
BLADE SIGNS,Fabricated Non Illuminated Blade Sign,N/A,N/A,,,,,,,,,,,B,,
BLADE SIGNS,Flat Blade Sign,N/A,N/A,,,,,,,,,,,B,,
NEON SIGNS,Faux LED Neon Sign,Flush Mount,N/A,,,,,,,,,,,C,,
NEON SIGNS,Faux LED Neon Sign,Ceiling Hung,N/A,,,,,,,,,,,D,,
NEON SIGNS,Faux Acrylic Neon Sign,N/A,N/A,,,,,,,,,,,C,,
MONUMENT & PYLON SIGNS,Pylon Sign,N/A,N/A,,,,,,,,,,,N/A,,
MONUMENT & PYLON SIGNS,Monument Sign,N/A,N/A,,,,,,,,,,,N/A,,
OTHER,Custom,Custom,N/A,,,,,,,,,,,Custom,,
